Tipo de Produto;Localidade;Quant 2013;Quant 2014;Quant 2015;Valor prod 2013;Valor prod 2014;Valor prod 2015
Alevinos;RO;7539;13816;36652;30130;36436;42237
Alevinos;AC;6632;7462;12155;1003;2168;3896
Alevinos;AM;12642;19169;25326;1540;2890;3161
Alevinos;RR;5000;1500;1000;960;270;220
Alevinos;PA;9632;17351;12465;1328;1694;1770
Alevinos;AP;231;252;291;26;28;33
Alevinos;TO;13510;12800;25780;1706;3375;3537
Alevinos;MA;29912;42301;39406;2965;3780;3810
Alevinos;PI;17555;18258;16058;1143;1313;1365
Alevinos;CE;54315;54640;56446;3762;4793;5915
Alevinos;RN;5121;5226;2714;137;120;81
Alevinos;PB;4233;7363;8602;380;815;1345
Alevinos;PE;7200;20621;22555;792;2628;2312
Alevinos;AL;3300;29502;29142;231;6080;4357
Alevinos;SE;16380;33905;21750;1292;2613;1674
Alevinos;BA;26429;26498;59200;2273;1941;5049
Alevinos;MG;49020;15670;30150;5596;2677;4641
Alevinos;ES;42390;26960;35279;6782;4521;4743
Alevinos;RJ;2156;2641;1394;272;316;159
Alevinos;SP;79612;98804;125221;7893;13499;23816
Alevinos;PR;220604;174734;215924;25798;19438;28689
Alevinos;SC;24300;38606;42649;3337;5719;6491
Alevinos;RS;17176;23036;21115;3769;5839;5275
Alevinos;MS;23298;23726;18188;5050;9276;4756
Alevinos;MT;62498;49287;44728;7461;18519;14294
Alevinos;GO;77912;57724;51109;13805;8041;8352
Alevinos;DF;253;310;315;15;12;13
Cachapira_e_pintachara;RO;1620800;263700;4233094;11832;2961;52147
Cachapira_e_pintachara;AC;88487;143527;335191;942;1467;3401
Cachapira_e_pintachara;AM;0;0;0;0;0;0
Cachapira_e_pintachara;RR;0;0;0;0;0;0
Cachapira_e_pintachara;PA;101460;117830;232623;1002;1203;2677
Cachapira_e_pintachara;AP;0;0;0;0;0;0
Cachapira_e_pintachara;TO;425609;1040124;994874;3169;12080;12259
Cachapira_e_pintachara;MA;45850;50732;64288;493;430;517
Cachapira_e_pintachara;PI;22472;57741;61889;226;747;868
Cachapira_e_pintachara;CE;6000;0;0;60;0;0
Cachapira_e_pintachara;RN;0;0;0;0;0;0
Cachapira_e_pintachara;PB;0;0;0;0;0;0
Cachapira_e_pintachara;PE;0;0;0;0;0;0
Cachapira_e_pintachara;AL;0;1700;1470;0;25;22
Cachapira_e_pintachara;SE;1142;62320;4910;14;750;67
Cachapira_e_pintachara;BA;177764;89752;87951;2382;1396;914
Cachapira_e_pintachara;MG;24400;14450;22210;298;182;270
Cachapira_e_pintachara;ES;3500;12600;10700;70;160;218
Cachapira_e_pintachara;RJ;1000;950;930;10;10;10
Cachapira_e_pintachara;SP;28930;29130;30410;660;306;295
Cachapira_e_pintachara;PR;132576;137040;146000;674;941;968
Cachapira_e_pintachara;SC;2178;8434;8422;27;53;73
Cachapira_e_pintachara;RS;3790;4090;4553;36;58;59
Cachapira_e_pintachara;MS;1335583;988766;494929;9953;7272;3590
Cachapira_e_pintachara;MT;11028212;16575491;11018776;86865;144982;109904
Cachapira_e_pintachara;GO;664964;838860;601358;8307;11063;8644
Cachapira_e_pintachara;DF;0;0;0;0;0;0
Camarao;RO;0;0;0;0;0;0
Camarao;AC;0;0;0;0;0;0
Camarao;AM;0;0;0;0;0;0
Camarao;RR;0;0;0;0;0;0
Camarao;PA;40000;42000;67000;320;420;737
Camarao;AP;0;0;0;0;0;0
Camarao;TO;0;0;0;0;0;0
Camarao;MA;50000;55000;84655;552;645;1083
Camarao;PI;3700974;3665613;3572253;42724;47653;48225
Camarao;CE;33949805;35391979;40717779;395178;394138;468061
Camarao;RN;16973918;18295251;17829519;223446;259541;282891
Camarao;PB;864000;933000;937900;9938;12104;14377
Camarao;PE;3241400;958600;944700;40715;14569;14921
Camarao;AL;0;260000;260000;0;3562;3900
Camarao;SE;2481140;2247550;2232133;24942;24084;27569
Camarao;BA;3008291;2784935;2806140;21419;29481;32924
Camarao;MG;14050;13220;13006;225;242;273
Camarao;ES;37940;67660;32960;1152;2183;1088
Camarao;RJ;5800;7086;9200;145;173;194
Camarao;SP;0;0;0;0;0;0
Camarao;PR;85000;125000;125000;1051;1638;1500
Camarao;SC;215000;180660;227500;3168;3226;4151
Camarao;RS;1500;0;0;41;0;0
Camarao;MS;0;0;0;0;0;0
Camarao;MT;0;0;0;0;0;0
Camarao;GO;0;0;0;0;0;0
Camarao;DF;0;0;0;0;0;0
Carpa;RO;0;0;0;0;0;0
Carpa;AC;0;0;0;0;0;0
Carpa;AM;0;0;0;0;0;0
Carpa;RR;0;0;0;0;0;0
Carpa;PA;800;880;0;6;7;0
Carpa;AP;0;0;0;0;0;0
Carpa;TO;0;0;0;0;0;0
Carpa;MA;0;0;1525;0;0;11
Carpa;PI;13200;5833;2920;95;44;26
Carpa;CE;5500;2380;0;26;12;0
Carpa;RN;9576;10213;9182;96;102;57
Carpa;PB;5000;2500;2300;25;16;18
Carpa;PE;0;17450;20200;0;146;185
Carpa;AL;10500;25200;50030;58;137;378
Carpa;SE;4900;5000;0;33;30;0
Carpa;BA;57941;60888;42400;291;346;333
Carpa;MG;120870;131158;94802;880;1000;753
Carpa;ES;12600;45900;29277;58;307;215
Carpa;RJ;24100;42994;38300;144;302;322
Carpa;SP;100700;100885;91331;882;718;661
Carpa;PR;2698949;2890428;2929681;11678;13042;14346
Carpa;SC;3550650;6091149;6473418;14298;28083;33625
Carpa;RS;12036433;11363115;10822223;70525;73726;80413
Carpa;MS;6700;17000;17850;23;93;94
Carpa;MT;0;839;5300;0;7;23
Carpa;GO;178441;72250;62450;1611;560;512
Carpa;DF;0;0;0;0;0;0
Curimbata_e_curimbatao;RO;603750;0;0;3461;0;0
Curimbata_e_curimbatao;AC;400214;681662;771008;2438;4673;6183
Curimbata_e_curimbatao;AM;266000;57100;39800;2206;465;357
Curimbata_e_curimbatao;RR;0;0;0;0;0;0
Curimbata_e_curimbatao;PA;32340;42578;57794;207;297;446
Curimbata_e_curimbatao;AP;0;0;0;0;0;0
Curimbata_e_curimbatao;TO;50979;52853;69700;280;298;408
Curimbata_e_curimbatao;MA;1179598;1318482;1404806;8646;10156;10973
Curimbata_e_curimbatao;PI;44415;21711;43575;349;172;364
Curimbata_e_curimbatao;CE;6800;0;0;17;0;0
Curimbata_e_curimbatao;RN;8424;9571;8557;50;66;39
Curimbata_e_curimbatao;PB;2000;2600;1000;10;25;10
Curimbata_e_curimbatao;PE;0;0;0;0;0;0
Curimbata_e_curimbatao;AL;7150;47248;28000;43;377;231
Curimbata_e_curimbatao;SE;0;0;0;0;0;0
Curimbata_e_curimbatao;BA;1860;3800;18000;19;38;144
Curimbata_e_curimbatao;MG;2700;2700;1718;17;18;15
Curimbata_e_curimbatao;ES;1430;4600;1000;16;28;7
Curimbata_e_curimbatao;RJ;6700;7500;3700;46;52;25
Curimbata_e_curimbatao;SP;12413;15575;15400;212;113;98
Curimbata_e_curimbatao;PR;67900;70680;37880;355;468;253
Curimbata_e_curimbatao;SC;4697;3101;4380;27;20;25
Curimbata_e_curimbatao;RS;2696;3615;2453;16;24;16
Curimbata_e_curimbatao;MS;1590;3000;3270;8;22;30
Curimbata_e_curimbatao;MT;59553;45453;36981;193;243;189
Curimbata_e_curimbatao;GO;10820;9300;5030;95;69;48
Curimbata_e_curimbatao;DF;0;0;0;0;0;0
Dourado;RO;0;0;0;0;0;0
Dourado;AC;0;0;0;0;0;0
Dourado;AM;0;0;0;0;0;0
Dourado;RR;0;0;0;0;0;0
Dourado;PA;0;0;0;0;0;0
Dourado;AP;0;0;0;0;0;0
Dourado;TO;0;0;0;0;0;0
Dourado;MA;0;0;0;0;0;0
Dourado;PI;0;0;0;0;0;0
Dourado;CE;0;0;0;0;0;0
Dourado;RN;0;0;0;0;0;0
Dourado;PB;0;0;0;0;0;0
Dourado;PE;0;0;0;0;0;0
Dourado;AL;0;0;5000;0;0;75
Dourado;SE;0;0;0;0;0;0
Dourado;BA;0;0;0;0;0;0
Dourado;MG;0;3100;0;0;50;0
Dourado;ES;0;0;0;0;0;0
Dourado;RJ;2500;2880;6100;14;29;74
Dourado;SP;6400;6315;5750;89;96;94
Dourado;PR;1100;11700;4100;14;165;56
Dourado;SC;396;1678;1926;4;14;17
Dourado;RS;7712;8570;7404;57;90;82
Dourado;MS;300;0;0;3;0;0
Dourado;MT;0;2061;0;0;21;0
Dourado;GO;120650;2120;1580;1750;31;22
Dourado;DF;0;0;0;0;0;0
Jatuarana_e_piracanjuba;RO;784000;0;5021675;4841;0;36678
Jatuarana_e_piracanjuba;AC;0;0;0;0;0;0
Jatuarana_e_piracanjuba;AM;0;0;0;0;0;0
Jatuarana_e_piracanjuba;RR;0;0;0;0;0;0
Jatuarana_e_piracanjuba;PA;1140;790;84450;8;5;676
Jatuarana_e_piracanjuba;AP;0;0;0;0;0;0
Jatuarana_e_piracanjuba;TO;2000;2300;3000;16;21;28
Jatuarana_e_piracanjuba;MA;0;0;0;0;0;0
Jatuarana_e_piracanjuba;PI;0;5829;5300;0;58;48
Jatuarana_e_piracanjuba;CE;0;0;0;0;0;0
Jatuarana_e_piracanjuba;RN;0;0;0;0;0;0
Jatuarana_e_piracanjuba;PB;0;0;0;0;0;0
Jatuarana_e_piracanjuba;PE;0;0;0;0;0;0
Jatuarana_e_piracanjuba;AL;0;0;0;0;0;0
Jatuarana_e_piracanjuba;SE;0;0;0;0;0;0
Jatuarana_e_piracanjuba;BA;0;0;0;0;0;0
Jatuarana_e_piracanjuba;MG;3000;1700;1200;27;16;12
Jatuarana_e_piracanjuba;ES;0;0;0;0;0;0
Jatuarana_e_piracanjuba;RJ;0;0;0;0;0;0
Jatuarana_e_piracanjuba;SP;6220;5325;5025;69;62;58
Jatuarana_e_piracanjuba;PR;0;0;0;0;0;0
Jatuarana_e_piracanjuba;SC;2271;3504;7820;23;18;36
Jatuarana_e_piracanjuba;RS;50;0;0;0;0;0
Jatuarana_e_piracanjuba;MS;0;0;0;0;0;0
Jatuarana_e_piracanjuba;MT;52521;232815;192097;314;1445;1413
Jatuarana_e_piracanjuba;GO;4000;3200;0;19;16;0
Jatuarana_e_piracanjuba;DF;0;0;0;0;0;0
Lambari;RO;800;0;0;10;0;0
Lambari;AC;500;0;0;2;0;0
Lambari;AM;0;0;0;0;0;0
Lambari;RR;0;0;0;0;0;0
Lambari;PA;200;5000;4590;0;59;60
Lambari;AP;0;0;0;0;0;0
Lambari;TO;3513;3800;3700;18;19;20
Lambari;MA;0;0;0;0;0;0
Lambari;PI;0;0;0;0;0;0
Lambari;CE;0;0;0;0;0;0
Lambari;RN;0;0;0;0;0;0
Lambari;PB;0;0;0;0;0;0
Lambari;PE;0;0;0;0;0;0
Lambari;AL;0;0;0;0;0;0
Lambari;SE;0;0;0;0;0;0
Lambari;BA;0;0;0;0;0;0
Lambari;MG;41070;64851;8901;233;517;55
Lambari;ES;1740;1100;1100;37;17;20
Lambari;RJ;1200;650;600;12;4;5
Lambari;SP;74041;83340;88532;480;742;654
Lambari;PR;18820;9420;10155;98;31;34
Lambari;SC;8171;5629;9730;57;38;71
Lambari;RS;61272;56516;70912;318;313;417
Lambari;MS;0;0;0;0;0;0
Lambari;MT;10130;16186;42750;10;162;265
Lambari;GO;34178;24420;3760;322;170;38
Lambari;DF;0;0;0;0;0;0
Larvas;RO;0;0;0;0;0;0
Larvas;AC;0;0;0;0;0;0
Larvas;AM;0;0;0;0;0;0
Larvas;RR;0;0;0;0;0;0
Larvas;PA;0;0;3350;0;0;342
Larvas;AP;0;0;0;0;0;0
Larvas;TO;0;0;0;0;0;0
Larvas;MA;0;0;0;0;0;0
Larvas;PI;435000;716000;674100;2610;5012;4719
Larvas;CE;1732000;2985436;8550966;11726;22241;75943
Larvas;RN;8898286;9917343;7646200;60832;71197;62899
Larvas;PB;100000;81300;85000;500;556;680
Larvas;PE;0;12096;13296;0;1028;295
Larvas;AL;0;0;0;0;0;0
Larvas;SE;0;7440;63320;0;56;475
Larvas;BA;6755;2903;2036;44;19;16
Larvas;MG;0;0;0;0;0;0
Larvas;ES;2026;3500;3410;143;195;204
Larvas;RJ;2300;2240;2350;162;157;118
Larvas;SP;2400;300;0;204;26;0
Larvas;PR;0;0;0;0;0;0
Larvas;SC;0;0;0;0;0;0
Larvas;RS;0;0;0;0;0;0
Larvas;MS;0;0;0;0;0;0
Larvas;MT;0;0;0;0;0;0
Larvas;GO;0;0;0;0;0;0
Larvas;DF;0;0;0;0;0;0
Matrinxa;RO;0;0;0;0;0;0
Matrinxa;AC;78654;194905;185079;600;1791;1687
Matrinxa;AM;3142200;8439410;7943283;23010;68611;61307
Matrinxa;RR;483995;424529;110000;1936;2972;880
Matrinxa;PA;63130;74476;104796;588;787;1193
Matrinxa;AP;0;0;0;0;0;0
Matrinxa;TO;461941;702199;556780;2310;4821;4337
Matrinxa;MA;0;0;0;0;0;0
Matrinxa;PI;0;2791;2850;0;28;25
Matrinxa;CE;0;0;0;0;0;0
Matrinxa;RN;0;0;0;0;0;0
Matrinxa;PB;0;0;0;0;0;0
Matrinxa;PE;0;0;0;0;0;0
Matrinxa;AL;0;0;600;0;0;4
Matrinxa;SE;541800;139040;11930;2438;832;76
Matrinxa;BA;0;1500;300;0;15;4
Matrinxa;MG;45330;40733;36759;387;338;321
Matrinxa;ES;1000;900;0;15;14;0
Matrinxa;RJ;1400;1285;1500;10;9;14
Matrinxa;SP;24930;25815;12115;177;218;121
Matrinxa;PR;1500;3000;3100;11;32;36
Matrinxa;SC;1088;2115;1900;12;18;17
Matrinxa;RS;0;0;0;0;0;0
Matrinxa;MS;0;1500;2100;0;13;23
Matrinxa;MT;286776;463616;328461;2413;4840;2801
Matrinxa;GO;352509;199930;64650;2397;1537;490
Matrinxa;DF;0;0;0;0;0;0
Ostras;RO;0;0;0;0;0;0
Ostras;AC;0;0;0;0;0;0
Ostras;AM;0;0;0;0;0;0
Ostras;RR;0;0;0;0;0;0
Ostras;PA;8250;42600;38240;50;421;216
Ostras;AP;0;0;0;0;0;0
Ostras;TO;0;0;0;0;0;0
Ostras;MA;0;6000;6200;0;102;93
Ostras;PI;0;0;0;0;0;0
Ostras;CE;0;0;0;0;0;0
Ostras;RN;9220;0;0;74;0;0
Ostras;PB;204;0;0;2;0;0
Ostras;PE;0;0;0;0;0;0
Ostras;AL;13650;61200;51700;68;305;314
Ostras;SE;0;0;970;0;0;7
Ostras;BA;64395;71278;60710;783;921;794
Ostras;MG;0;0;0;0;0;0
Ostras;ES;0;0;0;0;0;0
Ostras;RJ;92850;100679;75032;1032;1452;1771
Ostras;SP;88280;98500;113225;1289;1050;1359
Ostras;PR;266262;48520;55558;2668;519;594
Ostras;SC;18816600;21654000;20662060;52081;88486;81617
Ostras;RS;0;0;0;0;0;0
Ostras;MS;0;0;0;0;0;0
Ostras;MT;0;0;0;0;0;0
Ostras;GO;0;0;0;0;0;0
Ostras;DF;0;0;0;0;0;0
Outros;RR;0;0;0;0;0;0
Outros;PA;0;0;0;0;0;0
Outros;AP;0;0;0;0;0;0
Outros;TO;0;0;0;0;0;0
Outros;MA;0;0;0;0;0;0
Outros;PI;0;0;0;0;0;0
Outros;CE;0;0;0;0;0;0
Outros;RN;0;0;0;0;0;0
Outros;PB;0;0;0;0;0;0
Outros;PE;0;0;0;0;0;0
Outros;AL;0;0;0;140;400;200
Outros;SE;0;0;0;0;0;0
Outros;BA;0;0;0;0;324;0
Outros;MG;0;0;0;0;0;0
Outros;ES;0;0;0;66;108;35
Outros;RJ;0;0;0;1054;938;647
Outros;SP;0;0;0;1170;404;238
Outros;PR;0;0;0;1438;0;0
Outros;SC;0;0;0;0;0;100
Outros;RS;0;0;0;2;3;0
Outros;MS;0;0;0;0;0;0
Outros;MT;0;0;0;41;174;601
Outros;GO;0;0;0;375;405;435
Outros;DF;0;0;0;0;0;0
Outros;RO;0;0;0;0;0;0
Outros;AC;0;0;0;0;0;0
Outros;AM;0;0;0;0;0;0
Outros_peixes;RO;0;0;0;0;0;0
Outros_peixes;AC;78483;0;0;496;0;0
Outros_peixes;AM;0;0;0;0;0;0
Outros_peixes;RR;0;0;0;0;0;0
Outros_peixes;PA;0;110;70;0;1;0
Outros_peixes;AP;0;0;0;0;0;0
Outros_peixes;TO;8800;4100;0;40;35;0
Outros_peixes;MA;0;2000;1000;0;16;8
Outros_peixes;PI;640;12956;10990;5;147;121
Outros_peixes;CE;0;0;0;0;0;0
Outros_peixes;RN;0;0;0;0;0;0
Outros_peixes;PB;0;0;0;0;0;0
Outros_peixes;PE;0;0;0;0;0;0
